,name,genre,episodes,rating,members,type_Movie,type_Music,type_ONA,type_OVA,type_Special,type_TV
1438,Bokura ga Ita,"Drama, Romance, Shoujo, Slice of Life",26,7.54,125051,0,0,0,0,0,1
1439,Chou Denji Machine Voltes V,"Action, Adventure, Drama, Mecha, Sci-Fi, Shounen",40,7.54,3201,0,0,0,0,0,1
1440,Chouyaku Hyakuninisshu: Uta Koi.,"Historical, Josei, Romance",13,7.54,15661,0,0,0,0,0,1
1441,Code Geass: Boukoku no Akito 2 - Hikisakareshi Yokuryuu Picture Drama,"Action, Comedy, Military",1,7.54,7542,0,0,0,0,1,0
1442,Date A Live,"Comedy, Harem, Mecha, Romance, School, Sci-Fi",12,7.54,301358,0,0,0,0,0,1
1443,Doraemon Movie 28: Nobita to Midori no Kyojin Den,"Adventure, Comedy, Fantasy, Kids, Shounen",1,7.54,1651,1,0,0,0,0,0
1444,Dragon Ball Z Movie 13: Ryuuken Bakuhatsu!! Goku ga Yaraneba Dare ga Yaru,"Adventure, Comedy, Fantasy, Sci-Fi, Shounen",1,7.54,50607,1,0,0,0,0,0
1445,Fairy Tail x Rave,"Action, Adventure, Comedy, Fantasy, Magic, Shounen",1,7.54,51844,0,0,0,1,0,0
1446,Future GPX Cyber Formula,"Adventure, Sci-Fi, Shounen, Sports",37,7.54,2707,0,0,0,0,0,1
1447,Hime-chan no Ribbon,"Comedy, Fantasy, Magic, Romance, School, Shoujo",61,7.54,3589,0,0,0,0,0,1
1448,Hokuto no Ken: Raoh Gaiden Junai-hen,"Action, Adventure, Martial Arts",1,7.54,4907,1,0,0,0,0,0
1449,Initial D Extra Stage 2,"Action, Cars, Drama, Seinen, Sports",1,7.54,11468,0,0,0,1,0,0
1450,Karas,"Action, Fantasy, Sci-Fi",6,7.54,44108,0,0,0,1,0,0
1451,Nanatsu no Umi no Tico,"Adventure, Slice of Life",39,7.54,2123,0,0,0,0,0,1
1452,Ookiku Furikabutte: Natsu no Taikai-hen Special,"Comedy, Sports",1,7.54,4786,0,0,0,0,1,0
1453,Puchi Puri Yuushi,"Comedy, Fantasy, Magic, Shoujo",26,7.54,8030,0,0,0,0,0,1
1454,Saiyuuki Reload,"Action, Adventure, Comedy, Drama, Fantasy, Shoujo",25,7.54,16298,0,0,0,0,0,1
1455,Shigurui,"Action, Drama, Historical, Martial Arts, Samurai, Seinen",12,7.54,50091,0,0,0,0,0,1
1456,Super Lovers,"Comedy, Drama, Romance, Shounen Ai, Slice of Life",10,7.54,36781,0,0,0,0,0,1
1457,Tamayura: More Aggressive,"Comedy, Drama, Slice of Life",12,7.54,10901,0,0,0,0,0,1
1458,Tenchi Muyou!,"Comedy, Harem, Romance, Sci-Fi, Shounen, Space",26,7.54,38372,0,0,0,0,0,1
1459,Tiger &amp; Bunny Movie 1: The Beginning,"Action, Comedy, Mystery, Super Power",1,7.54,13716,1,0,0,0,0,0
1460,Toradora!: Bentou no Gokui,"Comedy, Romance, School, Slice of Life",1,7.54,71433,0,0,0,0,1,0
1461,Vandread: The Second Stage,"Action, Ecchi, Mecha, Sci-Fi, Shounen, Space",13,7.54,36264,0,0,0,0,0,1
1462,Wangan Midnight,"Action, Cars, Seinen, Sports",26,7.54,10058,0,0,0,0,0,1
1463,Aoki Densetsu Shoot!,"Action, Comedy, Drama, Romance, School, Shounen, Sports",58,7.53,6937,0,0,0,0,0,1
1464,Ashita no Joe 2 (Movie),"Drama, Sports",1,7.53,1396,1,0,0,0,0,0
1465,Cowboy Bebop: Yose Atsume Blues,"Action, Adventure, Comedy, Drama, Sci-Fi, Space",1,7.53,19565,0,0,0,0,1,0
1466,Gundam Build Fighters Try,"Action, Mecha, Sci-Fi",25,7.53,17946,0,0,0,0,0,1
1467,Hiyokoi,"Romance, School, Shoujo",1,7.53,51072,0,0,0,0,1,0
1468,Hoshi no Koe,"Drama, Mecha, Romance, Sci-Fi, Space",1,7.53,85492,0,0,0,1,0,0
1469,Kamisama no Inai Nichiyoubi,"Fantasy, Mystery",12,7.53,122031,0,0,0,0,0,1
1470,Magic Knight Rayearth,"Adventure, Comedy, Drama, Fantasy, Magic, Mecha, Romance, Shoujo",20,7.53,34141,0,0,0,0,0,1
1471,Mayo Chiki!,"Comedy, Ecchi, Harem, Romance, School",13,7.53,192219,0,0,0,0,0,1
1472,Naruto: Shippuuden Movie 4 - The Lost Tower,"Action, Comedy, Martial Arts, Shounen, Super Power",1,7.53,84527,1,0,0,0,0,0
1473,Nitaboh,"Historical, Music",1,7.53,4413,1,0,0,0,0,0
1474,Pale Cocoon,"Drama, Sci-Fi",1,7.53,44030,0,0,0,1,0,0
1475,Sankarea,"Comedy, Ecchi, Horror, Romance, Shounen, Supernatural",12,7.53,222657,0,0,0,0,0,1
1476,Shimoneta to Iu Gainen ga Sonzai Shinai Taikutsu na Sekai,"Comedy, Ecchi, School",12,7.53,193822,0,0,0,0,0,1
1477,Shin Chou Kyou Ryo: Condor Hero,"Adventure, Drama, Historical, Romance",26,7.53,4777,0,0,0,0,0,1
1478,Towa no Quon 1: Utakata no Kaben,"Action, Super Power, Supernatural",1,7.53,33550,1,0,0,0,0,0
1479,Towa no Quon 2: Konton no Ranbu,"Action, Mystery, Super Power, Supernatural",1,7.53,20132,1,0,0,0,0,0
1480,Trinity Seven OVA,"Action, Comedy, Ecchi, Fantasy, Harem, Magic, Romance, School, Supernatural",1,7.53,38197,0,0,0,1,0,0
1481,UN-GO,"Mystery, Supernatural",11,7.53,84499,0,0,0,0,0,1
1482,Uta no☆Prince-sama♪ Maji Love 2000%,"Comedy, Harem, Music, Romance, School, Shoujo",13,7.53,61551,0,0,0,0,0,1
1483,Vampire Knight Guilty,"Drama, Mystery, Romance, Shoujo, Supernatural, Vampire",13,7.53,198492,0,0,0,0,0,1
1484,Whistle!,"School, Shounen, Sports",39,7.53,8040,0,0,0,0,0,1
1485,Yomigaeru Sora: Rescue Wings,"Drama, Military, Seinen",12,7.53,6871,0,0,0,0,0,1
1486,Yu☆Gi☆Oh!: The Dark Side of Dimensions,"Adventure, Game, Shounen",1,7.53,10263,1,0,0,0,0,0
1487,Angel Densetsu,"Action, Comedy, School",2,7.52,10795,0,0,0,1,0,0
1488,Black Cat,"Adventure, Comedy, Sci-Fi, Shounen, Super Power",23,7.52,150512,0,0,0,0,0,1
1489,Flanders no Inu,"Drama, Historical, Slice of Life",52,7.52,2411,0,0,0,0,0,1
1490,Fuse: Teppou Musume no Torimonochou,"Action, Drama, Historical, Supernatural",1,7.52,13412,1,0,0,0,0,0
1491,Future GPX Cyber Formula 11,"Drama, Sci-Fi, Shounen, Sports",6,7.52,1116,0,0,0,1,0,0
1492,Ghost in the Shell: Arise - Border:3 Ghost Tears,"Mecha, Police, Psychological, Sci-Fi",1,7.52,21648,1,0,0,0,0,0
1493,Glass no Kamen,"Drama, Romance, Shoujo",23,7.52,4218,0,0,0,0,0,1
1494,Harmonie,"Drama, School, Supernatural",1,7.52,29029,1,0,0,0,0,0
1495,Kamikaze Kaitou Jeanne,"Adventure, Comedy, Demons, Drama, Fantasy, Magic, Mystery, Romance, Shoujo",44,7.52,31081,0,0,0,0,0,1
1496,Kanojo to Kanojo no Neko,"Drama, Psychological, Romance, Slice of Life",1,7.52,53463,0,0,0,1,0,0
1497,Kowarekake no Orgel (Movie),"Drama, Music, Sci-Fi, Slice of Life",1,7.52,9404,1,0,0,0,0,0
1498,Kure-nai,"Comedy, Drama, Martial Arts",12,7.52,59099,0,0,0,0,0,1
1499,Mahou Shoujo Lyrical Nanoha,"Action, Comedy, Drama, Magic, Super Power",13,7.52,62582,0,0,0,0,0,1
1500,Monster Musume no Iru Nichijou OVA,"Comedy, Ecchi, Fantasy, Harem, Romance, Seinen",2,7.52,13248,0,0,0,1,0,0
1501,Nanatsu no Taizai: Seisen no Shirushi,"Action, Adventure, Ecchi, Fantasy, Shounen, Supernatural",4,7.52,81154,0,0,0,0,0,1
1502,Nijiiro Days,"Comedy, Romance, School, Shoujo, Slice of Life",24,7.52,57920,0,0,0,0,0,1
1503,Ojamajo Doremi Dokkaan!,"Comedy, Magic, Shoujo",51,7.52,5971,0,0,0,0,0,1
1504,Oruchuban Ebichu,"Comedy, Ecchi, Seinen",24,7.52,21109,0,0,0,0,0,1
1505,Otona Joshi no Anime Time,"Drama, Josei, Slice of Life",4,7.52,11268,0,0,0,0,1,0
1506,Outbreak Company,"Comedy, Fantasy, Harem, Parody",12,7.52,131520,0,0,0,0,0,1
1507,Persona 4 the Animation: The Factor of Hope,"Adventure, Mystery, School, Super Power, Supernatural",1,7.52,10757,1,0,0,0,0,0
1508,Pokemon XY,"Action, Adventure, Comedy, Fantasy, Kids",93,7.52,30722,0,0,0,0,0,1
1509,Ranma ½: Kessen Tougenkyou! Hanayome wo Torimodose!,"Adventure, Comedy, Shounen",1,7.52,12418,1,0,0,0,0,0
1510,Sayonara Zetsubou Sensei Jo: Zetsubou Shoujo Senshuu,"Comedy, Parody, School",1,7.52,12097,0,0,0,0,1,0
1511,Scrapped Princess,"Adventure, Comedy, Drama, Fantasy, Mecha, Sci-Fi, Shounen",24,7.52,54575,0,0,0,0,0,1
1512,Seitokai no Ichizon,"Comedy, Harem, Parody, School",12,7.52,110470,0,0,0,0,0,1
1513,Selector Spread WIXOSS,"Game, Psychological",12,7.52,42918,0,0,0,0,0,1
1514,Slayers Evolution-R,"Adventure, Comedy, Fantasy",13,7.52,20508,0,0,0,0,0,1
1515,Taiho Shichau zo: Second Season,"Action, Comedy, Police, Shounen",26,7.52,5387,0,0,0,0,0,1
1516,Tales of Zestiria: Doushi no Yoake,Fantasy,1,7.52,23484,0,0,0,0,1,0
1517,Tenchi Muyou! in Love,"Action, Comedy, Romance, School, Sci-Fi, Shounen, Space",1,7.52,14318,1,0,0,0,0,0
1518,Tokyo Ghoul √A,"Action, Drama, Horror, Mystery, Psychological, Seinen, Supernatural",12,7.52,408357,0,0,0,0,0,1
1519,Yu☆Gi☆Oh! 5D&#039;s,"Action, Game, Shounen",154,7.52,47119,0,0,0,0,0,1
1520,Yuuki Yuuna wa Yuusha de Aru,"Drama, Fantasy, Magic, Slice of Life",12,7.52,59192,0,0,0,0,0,1
1521,Ajin Part 2: Shoutotsu,"Action, Horror, Mystery, Seinen, Supernatural",1,7.51,11377,1,0,0,0,0,0
1522,Busou Renkin,"Action, Comedy, Fantasy, School, Shounen, Supernatural",26,7.51,104607,0,0,0,0,0,1
1523,City Hunter: Bay City Wars,"Action, Comedy, Mystery, Shounen",1,7.51,2969,1,0,0,0,0,0
1524,Detective Conan Bonus File: Fantasista Flower,"Comedy, Mystery, Police, Shounen, Sports",1,7.51,4596,0,0,0,1,0,0
1525,Detective Conan OVA 11: A Secret Order from London,"Adventure, Comedy, Mystery, Police, Shounen",1,7.51,5985,0,0,0,1,0,0
1526,Doraemon Movie 05: Nobita no Makai Daibouken,Fantasy,1,7.51,1321,1,0,0,0,0,0
1527,Garo: Honoo no Kokuin,"Action, Demons, Fantasy, Magic, Supernatural",24,7.51,64214,0,0,0,0,0,1
1528,Hidamari Sketch,"Comedy, School, Slice of Life",12,7.51,42998,0,0,0,0,0,1
1529,Honoo no Toukyuuji: Dodge Danpei,"Comedy, Sports",47,7.51,2214,0,0,0,0,0,1
1530,Joshiraku OVA,"Comedy, Slice of Life",1,7.51,9358,0,0,0,1,0,0
1531,Kamichama Karin,"Comedy, Fantasy, Magic, Romance, School, Shoujo",26,7.51,30747,0,0,0,0,0,1
1532,Kamichu!,"Comedy, Drama, Slice of Life, Supernatural",12,7.51,33053,0,0,0,0,0,1
1533,Little Nemo,"Adventure, Fantasy",1,7.51,4886,1,0,0,0,0,0
1534,Maria-sama ga Miteru 3rd Specials,Comedy,5,7.51,5072,0,0,0,0,1,0
1535,Maria-sama ga Miteru: Haru Specials,"Drama, Romance, School, Shoujo, Shoujo Ai, Slice of Life",6,7.51,5554,0,0,0,0,1,0
1536,Mirai Nikki,"Action, Shounen, Supernatural",1,7.51,114217,0,0,0,1,0,0
1537,Moonlight Mile 2nd Season: Touch Down,"Adventure, Drama, Sci-Fi, Space",14,7.51,2758,0,0,0,0,0,1
1538,Neon Genesis Evangelion: Death &amp; Rebirth,"Drama, Mecha, Psychological, Sci-Fi",1,7.51,102093,1,0,0,0,0,0
1539,Oban Star-Racers,"Adventure, Mecha, Sci-Fi, Shounen",26,7.51,24156,0,0,0,0,0,1
1540,Papa no Iukoto wo Kikinasai!,"Comedy, Romance, Slice of Life",12,7.51,97674,0,0,0,0,0,1
1541,Raiyantsuuri no Uta,"Drama, Historical",1,7.51,465,1,0,0,0,0,0
1542,Rurouni Kenshin Special,"Action, Historical, Romance, Samurai",1,7.51,9173,0,0,0,0,1,0
1543,Sakigake!! Otokojuku,"Action, Comedy, Martial Arts, School, Shounen",34,7.51,4740,0,0,0,0,0,1
1544,Sentou Mecha Xabungle,"Mecha, Military, Sci-Fi, Shounen",50,7.51,1518,0,0,0,0,0,1
1545,Shin Chou Kyou Ryo: Condor Hero II,"Adventure, Drama, Historical, Romance",26,7.51,2151,0,0,0,0,0,1
1546,Taiho Shichau zo,"Action, Comedy, Police, Seinen",4,7.51,8557,0,0,0,1,0,0
1547,To LOVE-Ru OVA,"Comedy, Ecchi, Harem, School, Sci-Fi, Shounen",6,7.51,79923,0,0,0,1,0,0
1548,Winter Sonata,"Drama, Romance",26,7.51,13582,0,0,0,0,0,1
1549,WWW.Working!!,"Comedy, Slice of Life",13,7.51,40779,0,0,0,0,0,1
1550,Yama no Susume Second Season,"Adventure, Comedy, Slice of Life",24,7.51,11413,0,0,0,0,0,1
1551,Another: The Other - Inga,"Horror, Mystery, Thriller",1,7.5,86261,0,0,0,1,0,0
1552,Bartender,"Drama, Seinen, Slice of Life",11,7.5,44394,0,0,0,0,0,1
1553,Cheburashka,Comedy,1,7.5,545,1,0,0,0,0,0
1554,Chi&#039;s Sweet Home OVA,"Comedy, Kids, Slice of Life",1,7.5,4852,0,0,0,1,0,0
1555,Cinderella Monogatari,"Adventure, Fantasy, Kids, Romance",26,7.5,3560,0,0,0,0,0,1
1556,Date A Live II,"Comedy, Harem, Mecha, Romance, School, Sci-Fi",10,7.5,186187,0,0,0,0,0,1
1557,Dotto Koni-chan,Comedy,26,7.5,1397,0,0,0,0,0,1
1558,Fullmetal Alchemist: The Sacred Star of Milos,"Action, Adventure, Comedy, Drama, Fantasy, Magic, Military, Shounen",1,7.5,87944,1,0,0,0,0,0
1559,Gangsta.,"Action, Drama, Seinen",12,7.5,210752,0,0,0,0,0,1
1560,Gatchaman Crowds: Embrace,"Adventure, Sci-Fi",1,7.5,10757,0,0,0,0,1,0
1561,Ghost in the Shell: Stand Alone Complex - Tachikoma na Hibi (TV),"Comedy, Mecha, Sci-Fi",12,7.5,7582,0,0,0,0,0,1
1562,Hadashi no Gen 2,"Drama, Historical, Shounen",1,7.5,4910,1,0,0,0,0,0
1563,Hetalia: The World Twinkle Specials,"Comedy, Historical, Parody",3,7.5,2505,0,0,0,0,1,0
1564,Hibike! Euphonium: Kakedasu Monaka,"Drama, Music, School",1,7.5,17770,0,0,0,0,1,0
1565,Karakuri Zoushi Ayatsuri Sakon,"Horror, Mystery, Thriller",26,7.5,6197,0,0,0,0,0,1
1566,Kaze no Stigma,"Action, Fantasy, Magic, Romance, Shounen",24,7.5,205338,0,0,0,0,0,1
1567,Kindaichi Shounen no Jikenbo Returns 2nd Season,"Mystery, Shounen",22,7.5,3676,0,0,0,0,0,1
1568,Kono Bijutsubu ni wa Mondai ga Aru!,"Comedy, Romance, School",12,7.5,69088,0,0,0,0,0,1
1569,Lupin III: Part III,"Action, Adventure, Comedy, Shounen",50,7.5,6883,0,0,0,0,0,1
1570,Mardock Scramble: The Second Combustion,"Action, Psychological, Sci-Fi",1,7.5,23866,1,0,0,0,0,0
1571,Marmalade Boy Movie,"Romance, Shoujo",1,7.5,5641,1,0,0,0,0,0
1572,Mnemosyne: Mnemosyne no Musume-tachi,"Action, Horror, Sci-Fi, Shoujo Ai, Supernatural",6,7.5,96092,0,0,0,0,0,1
1573,Naruto: Shippuuden Movie 3 - Hi no Ishi wo Tsugu Mono,"Action, Comedy, Martial Arts, Shounen, Super Power",1,7.5,83515,1,0,0,0,0,0
1574,Nisekoi:,"Comedy, Harem, Romance, School, Shounen",12,7.5,180686,0,0,0,0,0,1
1575,Nodame Cantabile Special,"Comedy, Josei, Romance, Slice of Life",1,7.5,19570,0,0,0,0,1,0
1576,One Piece: Adventure of Nebulandia,"Action, Adventure, Comedy, Fantasy, Shounen, Super Power",1,7.5,9777,0,0,0,0,1,0
1577,Ranma ½: Chou Musabetsu Kessen! Ranma Team vs. Densetsu no Houou,"Action, Adventure, Comedy, Martial Arts, Shounen, Supernatural",1,7.5,9597,1,0,0,0,0,0
1578,Sakasama no Patema: Beginning of the Day,Sci-Fi,4,7.5,16933,0,0,0,0,1,0
1579,Seikai no Senki Special,"Action, Military, Romance, Sci-Fi, Space",1,7.5,2216,0,0,0,0,1,0
1580,Tengen Toppa Gurren Lagann Movie: Lagann-hen Special - Viral no Amai Yume,Comedy,1,7.5,19219,0,0,0,1,0,0
1581,Uchuu Show e Youkoso,"Adventure, Fantasy, Space",1,7.5,11368,1,0,0,0,0,0
1582,Yuu☆Yuu☆Hakusho: Eizou Hakusho II,"Action, Adventure, Comedy, Shounen, Supernatural",4,7.5,6166,0,0,0,1,0,0
1583,Baka to Test to Shoukanjuu Specials,"Comedy, Magic, School",6,7.49,29923,0,0,0,0,1,0
1584,Ben-To,"Action, Comedy, Martial Arts",12,7.49,146570,0,0,0,0,0,1
1585,Danganronpa: Kibou no Gakuen to Zetsubou no Koukousei The Animation,"Action, Horror, Mystery, Psychological",13,7.49,298550,0,0,0,0,0,1
1586,Danna ga Nani wo Itteiru ka Wakaranai Ken 2 Sure-me,"Comedy, Seinen, Slice of Life",13,7.49,73285,0,0,0,0,0,1
1587,Doraemon,"Adventure, Comedy, Fantasy, Kids, Shounen",26,7.49,9366,0,0,0,0,0,1
1588,Fairy Tail Movie 1: Houou no Miko - Hajimari no Asa,"Fantasy, Magic, Shounen",1,7.49,34230,0,0,0,0,1,0
1589,Inazuma Eleven: Saikyou Gundan Ogre Shuurai,"Shounen, Sports, Super Power",1,7.49,6392,1,0,0,0,0,0
1590,Kaze no Shoujo Emily,"Drama, Historical, Shoujo",26,7.49,2881,0,0,0,0,0,1
1591,Kowarekake no Orgel,"Drama, Music, Sci-Fi, Slice of Life",1,7.49,24876,0,0,0,1,0,0
1592,Love Lab,"Comedy, Romance, School",13,7.49,79493,0,0,0,0,0,1
1593,Love Live! School Idol Project 2nd Season Recap,"Music, School, Slice of Life",1,7.5,3213,0,0,0,1,0,0
1594,Mai-Otome 0: S.ifr,Sci-Fi,3,7.49,11171,0,0,0,1,0,0
1595,Maison Ikkoku: Kanketsu-hen,"Comedy, Drama, Romance",1,7.49,3109,1,0,0,0,0,0
1596,Mazinger Z,"Action, Drama, Mecha, Sci-Fi, Shounen",92,7.49,5746,0,0,0,0,0,1
1597,One Piece: Mamore! Saigo no Dai Butai,"Adventure, Comedy, Fantasy, Shounen",1,7.49,16495,0,0,0,0,1,0
1598,Ore no Imouto ga Konnani Kawaii Wake ga Nai,"Comedy, Seinen, Slice of Life",12,7.49,321477,0,0,0,0,0,1
1599,Pandora Hearts Specials,Comedy,9,7.49,32103,0,0,0,0,1,0
1600,Qin Shiming Yue Zhi: Zhu Zi Bai Jia,"Action, Fantasy, Historical, Martial Arts",34,7.49,369,0,0,0,0,0,1
1601,Saki Zenkoku-hen,"Game, School, Slice of Life",13,7.49,19010,0,0,0,0,0,1
1602,Sakurako-san no Ashimoto ni wa Shitai ga Umatteiru,Mystery,12,7.49,99665,0,0,0,0,0,1
1603,Senyuu.,"Action, Comedy, Fantasy, Parody, Shounen",13,7.49,56815,0,0,0,0,0,1
1604,Shakugan no Shana S,"Action, Drama, Fantasy, Romance, School, Supernatural",4,7.49,53129,0,0,0,1,0,0
1605,Soukou Kihei Votoms: Red Shoulder Document - Yabou no Roots,"Drama, Mecha, Military, Sci-Fi",1,7.49,2049,0,0,0,1,0,0
1606,Soukyuu no Fafner: Right of Left - Single Program,"Action, Drama, Mecha, Military, Sci-Fi",1,7.49,9482,0,0,0,0,1,0
1607,Strike Witches: Operation Victory Arrow,"Action, Ecchi, Magic, Military, Sci-Fi",3,7.49,11203,0,0,0,1,0,0
1608,"Tamayura: More Aggressive - Tsuitachi dake no Shuugakuryokou, Nanode","Comedy, Drama, Slice of Life",1,7.49,2770,0,0,0,0,1,0
1609,Tenchi Muyou! Ryououki: Omatsuri Zenjitsu no Yoru!,"Comedy, Harem, Romance, Sci-Fi, Shounen",1,7.49,8812,0,0,0,1,0,0
1610,Tibet Inu Monogatari,Adventure,1,7.49,2647,1,0,0,0,0,0
1611,Time Travel Tondekeman!,"Action, Adventure, Comedy, Kids",39,7.49,957,0,0,0,0,0,1
1612,Uchuu no Stellvia,"Action, Romance, Sci-Fi, Space",26,7.49,15471,0,0,0,0,0,1
1613,Yokoyama Mitsuteru Sangokushi,"Adventure, Historical",47,7.49,2849,0,0,0,0,0,1
1614,Yowamushi Pedal: Special Ride,"Comedy, Drama, Shounen, Sports",1,7.49,10737,0,0,0,1,0,0
1615,Ai no Wakakusa Monogatari,"Drama, Historical, Slice of Life",48,7.48,3334,0,0,0,0,0,1
1616,Air,"Drama, Romance, Slice of Life, Supernatural",13,7.48,188861,0,0,0,0,0,1
1617,Akazukin Chacha,"Adventure, Comedy, Fantasy, Magic, Romance, Shoujo",74,7.48,7581,0,0,0,0,0,1
1618,Carnival Phantasm: HibiChika Special,"Comedy, Supernatural",1,7.48,14893,0,0,0,0,1,0
1619,Crayon Shin-chan Movie 10: Arashi wo Yobu Appare! Sengoku Daikassen,"Drama, Historical, Kids, Romance, Samurai",1,7.48,1478,1,0,0,0,0,0
1620,Deadman Wonderland,"Action, Horror, Sci-Fi",12,7.48,453454,0,0,0,0,0,1
1621,Gensoumaden Saiyuuki Movie: Requiem - Erabarezaru Mono e no Chinkonka,"Adventure, Shounen, Supernatural",1,7.48,6442,1,0,0,0,0,0
1622,Ginban Kaleidoscope,"Drama, Romance, Sports",12,7.48,29837,0,0,0,0,0,1
1623,GJ-bu,"Comedy, School, Slice of Life",12,7.48,83838,0,0,0,0,0,1
1624,Gokusen,"Comedy, Drama, Josei, School, Slice of Life",13,7.48,22009,0,0,0,0,0,1
1625,Happy Birthday: Inochi Kagayaku Toki,"Drama, Kids, Slice of Life",1,7.48,1356,1,0,0,0,0,0
1626,Honobono Log,"Romance, Slice of Life",10,7.48,9053,0,0,0,0,0,1
1627,Huyao Xiao Hongniang,"Comedy, Romance",13,7.48,2696,0,0,1,0,0,0
1628,Ikoku Meiro no Croisée The Animation,"Historical, Seinen, Slice of Life",12,7.48,38652,0,0,0,0,0,1
1629,Initial D Extra Stage,"Action, Cars, Drama, Seinen, Sports",2,7.48,15363,0,0,0,1,0,0
1630,Keroro Gunsou Movie 2: Shinkai no Princess de Arimasu!,"Action, Adventure, Comedy, Drama, Sci-Fi, Shounen",1,7.48,2941,1,0,0,0,0,0
1631,Kimikiss Pure Rouge,"Drama, Romance, School",24,7.48,58211,0,0,0,0,0,1
1632,Little Busters!: Sekai no Saitou wa Ore ga Mamoru!,"Comedy, School, Slice of Life",1,7.48,17204,0,0,0,1,0,0
1633,Lupin III: Kutabare! Nostradamus,"Action, Adventure, Comedy, Shounen",1,7.48,4383,1,0,0,0,0,0
1634,Maria-sama ga Miteru,"Drama, Romance, Shoujo, Shoujo Ai, Slice of Life",13,7.48,33989,0,0,0,0,0,1
1635,Prince of Tennis: A Day on Survival Mountain,"Adventure, Comedy, Shounen, Sports",1,7.48,11817,0,0,0,1,0,0
1636,Re:␣Hamatora,"Comedy, Mystery, Super Power",12,7.48,73903,0,0,0,0,0,1
1637,Ristorante Paradiso,"Drama, Josei, Romance, Slice of Life",11,7.48,22229,0,0,0,0,0,1
1638,Seitokai no Ichizon Lv.2,"Comedy, Harem, Parody, School",10,7.48,41169,0,0,1,0,0,0
1639,"Sengoku Basara Two: Ryuko, Itadaki no Chikai! Atsuki Mirai e Kakeru Tamashii!!","Action, Historical, Samurai",1,7.47,4955,0,0,0,0,1,0
1640,Shigofumi Special,"Drama, Fantasy, Psychological, Thriller",1,7.48,11797,0,0,0,0,1,0
1641,Shin Getter Robo,"Action, Adventure, Demons, Horror, Mecha, Sci-Fi, Shounen",13,7.48,4603,0,0,0,1,0,0
1642,Soredemo Machi wa Mawatteiru,"Comedy, Slice of Life",12,7.48,31906,0,0,0,0,0,1
1643,Tokimeki Tonight,"Comedy, Fantasy, Romance, Shoujo, Vampire",34,7.48,3057,0,0,0,0,0,1
1644,Yankee-kun na Yamada-kun to Megane-chan to Majo,"Comedy, School, Shounen",1,7.48,7170,0,0,0,0,1,0
1645,Youkai Watch Movie 1: Tanjou no Himitsu da Nyan!,"Comedy, Kids, Supernatural",1,7.48,1034,1,0,0,0,0,0
1646,Yowamushi Pedal: Re:RIDE,"Drama, Shounen, Sports",1,7.48,4749,1,0,0,0,0,0
1647,Yowamushi Pedal: Re:ROAD,"Drama, Shounen, Sports",1,7.48,3088,1,0,0,0,0,0
1648,Yuu☆Yuu☆Hakusho: Eizou Hakusho,"Action, Adventure, Shounen, Supernatural",2,7.48,6352,0,0,0,1,0,0
1649,Zoids,"Action, Adventure, Comedy, Mecha, Sci-Fi",67,7.48,27614,0,0,0,0,0,1
1650,Air in Summer,"Comedy, Drama, Historical, Romance, Supernatural",2,7.47,29514,0,0,0,0,1,0
1651,Appleseed Saga Ex Machina,"Action, Mecha, Military, Sci-Fi",1,7.47,28365,1,0,0,0,0,0
1652,Asura Cryin&#039; 2,"Action, Mecha, Supernatural",13,7.47,43725,0,0,0,0,0,1
1653,Cross Ange: Tenshi to Ryuu no Rondo,"Action, Mecha, Sci-Fi",25,7.47,75807,0,0,0,0,0,1
1654,D-Frag! OVA,"Comedy, Game, Seinen",1,7.47,28116,0,0,0,1,0,0
1655,Detective Conan Magic File 5: Niigata - Tokyo Omiyage Capriccio,"Adventure, Comedy, Mystery, Police, Shounen",1,7.47,5369,0,0,0,1,0,0
1656,Doraemon Movie 25: Nobita no Wan Nyan Jikuuden,"Adventure, Comedy, Kids, Sci-Fi",1,7.47,1269,1,0,0,0,0,0
1657,Doraemon Movie 33: Nobita no Himitsu Dougu Museum,"Adventure, Comedy, Fantasy, Kids, Shounen",1,7.47,787,1,0,0,0,0,0
1658,Fate/kaleid liner Prisma☆Illya 2wei!,"Action, Comedy, Fantasy, Magic",10,7.47,56859,0,0,0,0,0,1
1659,Futatsu no Spica,"Drama, School, Sci-Fi, Supernatural",20,7.47,5894,0,0,0,0,0,1
1660,Gatchaman Crowds,"Adventure, Sci-Fi",12,7.47,107513,0,0,0,0,0,1
1661,Gatchaman Crowds Insight,"Adventure, Sci-Fi",12,7.47,41220,0,0,0,0,0,1
1662,Grisaia no Meikyuu Special,Ecchi,1,7.47,16648,0,0,0,0,1,0
1663,Hakushaku to Yousei,"Adventure, Fantasy, Historical, Magic",12,7.47,63915,0,0,0,0,0,1
1664,Hana to Alice: Satsujin Jiken,"Drama, Mystery, Slice of Life",1,7.47,9766,1,0,0,0,0,0
1665,"Hetalia Axis Powers Movie: Paint it, White","Comedy, Historical, Parody",1,7.47,36986,1,0,0,0,0,0
1666,High School DxD OVA,"Comedy, Demons, Ecchi, Romance, School",2,7.47,91154,0,0,0,1,0,0
1667,Hitsugi no Chaika,"Action, Adventure, Comedy, Fantasy, Romance, Shounen",12,7.47,164510,0,0,0,0,0,1
